Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489435,22349,"DOG BOWL , CHASING BALL DESIGN",12,12/1/2009 7:46,3.75,13085,United Kingdom
489436,22109,FULL ENGLISH BREAKFAST PLATE,16,12/1/2009 9:06,3.39,13078,United Kingdom
489439,22352,LUNCHBOX WITH CUTLERY RETROSPOT ,12,12/1/2009 9:28,2.55,12682,France
489442,22111,SCOTTIE DOG HOT WATER BOTTLE,3,12/1/2009 9:46,4.95,13635,United Kingdom
489445,84988,SET OF 72 PINK HEART PAPER DOILIES,12,12/1/2009 9:57,1.45,17519,United Kingdom
489446,20725,LUNCH BAG RED SPOTTY,10,12/1/2009 10:06,1.65,13758,United Kingdom
C489459,90200A,PURPLE SWEETHEART BRACELET,-3,12/1/2009 10:44,4.25,17592,United Kingdom
489460,79323S, SILVER CHERRY LIGHTS,4,12/1/2009 10:46,6.75,16167,United Kingdom
489460,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/1/2009 10:46,1.65,16167,United Kingdom
489461,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,12/1/2009 10:49,7.95,17865,United Kingdom
489462,90003D,CRYSTAL PAIR HEART HAIR SLIDES,3,12/1/2009 10:49,3.75,17592,United Kingdom
489462,90003B,ROSE COLOUR PAIR HEART HAIR SLIDES,3,12/1/2009 10:49,3.75,17592,United Kingdom
489465,21710,FOLDING UMBRELLA  PINK/WHITE  SPOT,12,12/1/2009 10:52,4.95,13767,United Kingdom
489465,20754,RETRO RED SPOTTY WASHING UP GLOVES,8,12/1/2009 10:52,2.1,13767,United Kingdom
489488,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,1,12/1/2009 10:59,2.95,17238,United Kingdom
489488,21493, VINTAGE DESIGN GIFT TAGS,6,12/1/2009 10:59,0.85,17238,United Kingdom
489505,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,12/1/2009 11:17,1.95,15712,United Kingdom
489505,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,6,12/1/2009 11:17,4.95,15712,United Kingdom
489514,72783,BLACK SIL'T SQU CANDLE PLATE ,2,12/1/2009 11:21,2.1,15311,United Kingdom
489517,22130,PARTY CONE CHRISTMAS DECORATION ,6,12/1/2009 11:34,0.85,16329,United Kingdom
489517,84951A,S/4 PISTACHIO LOVEBIRD COASTERS,1,12/1/2009 11:34,2.55,16329,United Kingdom
C489518,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-1,12/1/2009 11:35,7.95,15461,United Kingdom
489519,21908,CHOCOLATE THIS WAY METAL SIGN,6,12/1/2009 11:37,2.1,17700,United Kingdom
489519,21181,PLEASE ONE PERSON  METAL SIGN,6,12/1/2009 11:37,2.1,17700,United Kingdom
489519,21912,VINTAGE SNAKES & LADDERS,8,12/1/2009 11:37,3.75,17700,United Kingdom
489519,90023,FILIGREE DIAMANTE EARRINGS,2,12/1/2009 11:37,4.25,17700,United Kingdom
